id,year,adj_open,adj_close,pct_change
0,2001,1320.28,1148.08,-0.130426879
1,2002,1148.08,879.82,-0.233659675
2,2003,879.82,1111.92,0.26380396
3,2004,1111.92,1211.92,0.089934528
4,2005,1211.92,1248.29,0.030010232
5,2006,1248.29,1418.3,0.136194314
6,2007,1418.03,1468.36,0.035492902
7,2008,1467.97,903.25,-0.38469451
8,2009,902.99,1115.1,0.234897396
9,2010,1116.56,1257.64,0.126352368
10,2011,1257.62,1257.6,-1.59E-05
11,2012,1258.86,1426.19,0.13292185
12,2013,1426.19,1848.36,0.296012453
13,2014,1845.86,2058.9,0.115415037
14,2015,2058.9,2043.94,-0.007266016
15,2016,2038.2,2238.83,0.098434894
16,2017,2251.57,2673.61,0.18744254
17,2018,2683.73,2506.85,-0.065908269
18,2019,2476.96,3230.78,0.30433273
